"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"Mathematics","Physics","Chemistry","Geology","Ecology","Biology","Botany","Information Technology","Engineering","Telecommunications","Medicine","Civil Engineering","Pedagogy","Economics","Commerce","Sociology","Psychology","Law","Creative Art","Linguistics","Archaeology","Philosophy"
"Mathematical optimization","Quantum mechanics","Organic chemistry","Meteorology","","Genetics","Agronomy","Computer Science","Materials Science","Electronic engineering","Surgery","Built Environment","Education","Economic growth","Management","Social psychology","","Political Science","Writing","Communication","History","Religious Studies"
"Mathematical analysis","Optics","Stereochemistry","Climatology","Soil science","","Agroforestry","Simulation","","","Pathology","Design","Mathematics education","Microeconomics","Marketing","","Developmental psychology","Public administration","Multimedia","Culture","Ancient history",""
"Discrete mathematics","Nuclear magnetic resonance","Inorganic chemistry","Hydrology","","Biochemistry","","Data mining","","Computer network","","","","Economy","Operations management","","","","Computer graphics (images)","","",""
"Statistics","Condensed matter physics","","Oceanography","","","","","Ceramic materials","","Immunology","","","Macroeconomics","Services","","Psychiatry","","","","Geography",""
"Topology","Atomic physics","Analytical chemistry","Geomorphology","","Molecular biology","","Machine learning","Forensic engineering","Electrical engineering","Diabetes mellitus","","","","Public Relations","Social science","Clinical psychology","Actuarial science","Speech recognition","Natural language processing","","Epistemology"
"Combinatorics","","Photochemistry","","","Bioinformatics","Biotechnology","Artificial intelligence","Metallurgy","","Endocrinology","","","Finance","","","","","Art","","",""
"Control theory","Astronomy","Chromatography","Paleontology","Environmental Engineering","Microbiology","","Computer vision","Composite material","Real-time computing","Anatomy","Architectural engineering","","","Business","","Psychotherapist","","Literature","","",""
"Algebra","Classical mechanics","Mineralogy","","","","","World Wide Web","","","","","","Labour economics","","","Cognitive psychology","","","","",""
"Geometry","Astrophysics","","","Environmental resource management","","","","Thermodynamics","Distributed computing","","","","","","","Neuroscience","","Performance art","Algorithm","",""
"Calculus","","","Seismology","Environmental protection","","","","","","Anesthesia","","","","Advertising","","Cognition","","","Programming language","",""
"","Quantum electrodynamics","Physical Chemistry","Geophysics","Forestry","","","Database","Nanotechnology","","Virology","Systems engineering","Knowledge management","International trade","Accounting","","","Computer security","Acoustics","","Cartography",""
"","Nuclear physics","","Geochemistry","Geotechnical engineering","Cell biology","","Theoretical computer science","","","","","","Welfare economics","Financial economics","","","","Classics","","Humanities",""
"","Particle physics","Polymer chemistry","","","Enzyme","","","","Embedded system","Physical therapy","","","","","","","","","","","Ethics"
"Control engineering","Optoelectronics","","Atmospheric sciences","Waste management","Bacteria","Veterinary medicine","","Structural engineering","","","","","Econometrics","","Socioeconomics","Human factors and ergonomics","","","","","Theology"
"","","Crystallography","","","","Fishery","Operating system","","","Radiology","","","","Tourism","Development economics","","","Creativity","","",""
"","Magnetic field","","","Environmental chemistry","","Horticulture","","","","Intensive Care Medicine","","","","","Gender studies","","","Digital media","","",""
"","","Computational chemistry","Remote sensing","","","","","Engineering drawing","","","Mechanical Engineering","Medical education","Public economics","","","","","","","Genealogy",""
"","","","","","","","","","","Cardiology","","Higher education","Economic policy","","","Injury prevention","","Game design","","Anthropology",""
"","","","Earth science","Environmental science","","Animal science","Pattern recognition","","","","","Teaching method","","","","Suicide prevention","","Internet privacy","","",""
"","","X-ray crystallography","Climate change","","Gene expression","Food science","","","","Gynecology","","","International Economics","","Economic system","","","","","",""
"","","Catalysis","Mining engineering","","","","","","","Pharmacology","","","Market economy","","Demography","","","Music education","","",""
"","Oscillation","Kinetics","Seasonality","","","","Parallel computing","","","Pediatrics","","Educational technology","","","","","","","","",""
"","Spectrum","","","Soil organic matter","","","","","Antenna","","","","","Design methods","","","","","","",""
"","","Crystal structure","","Environmental planning","","","","","","Medical emergency","","","Mathematical Economics","Management science","","Perception","","Visual arts","","",""
"","","","","","Zoology","","","","Routing","Risk factor","","","","Financial system","","Environmental health","","3D computer graphics","","",""
"","","","","Biodiversity","","","","","Antenna measurement","","","","","","","","","","Natural language","","Philosophy of medicine"
"","Astrobiology","Redox","","","Gene","Nitrogen","","","Directional antenna","","","Nursing","Industrial organization","","","","","","","",""
"","","","","","Cell culture","","","","","","Transport engineering","Applied psychology","","","","Memory","","Balloon","","",""
"Pure mathematics","","","","Soil water","Peptide sequence","","","","Microstrip antenna","","","Active learning","","","","Personality","","Beta distribution","English","",""
"","Cross section","Mass spectrometry","","","Proteomics","","Information retrieval","Microstructure","Dipole antenna","Alternative medicine","","","","","","Young adult","Criminology","Biomusicology","","",""
"Boundary value problem","","Aqueous solution","Trace element","","Signal transduction","","","","Quality of service","","","Experiential learning","","","","Cognitive science","","Blimp","","",""
"Mathematical model","Computer simulation","Infrared spectroscopy","","Organic matter","DNA microarray","Pesticide","","","","Exploration","","Family medicine","","Supply chain","","","","","","",""
"Nonlinear system","Image resolution","","Temperature","","Escherichia coli","Sustainability","","","Bandwidth","","Thermal comfort","Engineering Management","","Corporate governance","","Psychometrics","","","","",""
"Differential equation","","","Petrology","","Mutation","","","","","Dentistry","","","Developing country","Profitability index","Gerontology","","","","","Library science",""
"","Electric field","Detection limit","Geodesy","","Thallophyte","Toxicology","","","Omnidirectional antenna","Epidemiology","","Cooperative learning","Agricultural economics","Supply chain management","","Social relation","","","","",""
"","Cosmology","Copper","","","Cancer research","","Human–computer interaction","Thin film","Wireless network","In vitro","","Applied mathematics","","","","Vision","","","","","Engineering ethics"
"Satisfiability","","Electrochemistry","Sea ice","","Transcription factor","","","","","Central nervous system","Urban planning","","Monetary economics","","","Attention","","Competence","","","Information ethics"
"Numerical analysis","Ground state","High-performance liquid chromatography","","Land use","Medical research","","Software Engineering","Finite element method","","Oncology","","","Operations research","","","Anxiety","","Complex network","Semantics","","Philosophy education"
"Stochastic process","","Hydrogen bond","","","","","","","Coaxial antenna","","","","","Empirical research","","","","Computer Animation","","",""
"","Statistical physics","Molecule","Climate model","Soil contamination","","Chemical composition","Artificial neural network","","Radiation pattern","General surgery","","Science education","","Organizational learning","","","","Computer-supported cooperative work","","","Western philosophy"
"","","","Physical geography","","Taxonomy","","Data science","","Monopole antenna","Comparative research","","Professional development","","","","","International law","Computing","","Media studies","Philosophy of sport"
"","","Transition metal","","Conservation","","Body weight","","","","Gastroenterology","Design process","Evaluation","","","","","","Creativity technique","","",""
"","Excited state","Room temperature","","Erosion","DNA","","","Systems modeling","Antenna factor","","Efficient energy use","Special education","","Corporate social responsibility","","","","","","Ethnology",""
"","Infrared","Adsorption","","Sol","Apoptosis","","","","Wireless","","","Synchronous learning","","Customer satisfaction","","Information processing","","Decision rule","Language","",""
"","Monte Carlo method","Quantitative analysis","Precipitation","","Binding site","","","","Patch antenna","Nuclear medicine","","","","Innovation","","","","Digital transformation","Art history","",""
"","Cathode ray","Reaction mechanism","Ice sheet","Soil carbon","Amino acid","Irrigation","","","Antenna efficiency","","","Interview","","Consumer Behaviour","","","","DNA sequencing","","",""
"","","","Mantle","","Phylogenetics","Climate","","","Wireless sensor network","","","Primary education","Environmental economics","Brand management","","","","","","",""
"Control system","Nonlinear optics","Morphology","Sediment","","","","","","Interference","","","Collaborative learning","","","","","Public law","","","","Dynamic logic"
"","Quantum dot","Nuclear chemistry","","","","Integrated pest management","","","Slot antenna","El Niño","","","","Competitive advantage","","","","","","",""
